name,word-precision,word-recall, word-fval,phrase-precision,phrase-recall, phrase-fval
254.abstr,0.19,0.57,0.29,0.06,0.2,0.09
255.abstr,0.05,0.2,0.08,0.0,0.0,0.0
256.abstr,0.21,0.6,0.32,0.0,0.0,0.0
257.abstr,0.35,0.57,0.43,0.13,0.4,0.2
258.abstr,0.44,0.41,0.43,0.1,0.11,0.11
259.abstr,0.55,0.53,0.54,0.32,0.4,0.35
26.abstr,0.42,0.8,0.55,0.16,0.5,0.24
260.abstr,0.69,0.82,0.75,0.33,0.38,0.35
261.abstr,0.46,0.42,0.44,0.26,0.28,0.27
262.abstr,0.41,0.35,0.38,0.17,0.27,0.21
263.abstr,0.65,0.71,0.68,0.21,0.27,0.24
264.abstr,0.32,0.47,0.38,0.16,0.3,0.21
265.abstr,0.43,0.63,0.51,0.16,0.33,0.21
266.abstr,0.68,0.52,0.59,0.28,0.26,0.27
267.abstr,0.34,0.55,0.42,0.05,0.1,0.07
268.abstr,0.56,0.74,0.64,0.15,0.33,0.21
269.abstr,0.68,0.68,0.68,0.15,0.18,0.16
27.abstr,0.36,0.69,0.47,0.15,0.43,0.22
270.abstr,0.35,0.35,0.35,0.1,0.18,0.13
271.abstr,0.25,0.33,0.29,0.1,0.15,0.12
272.abstr,0.56,0.56,0.56,0.15,0.25,0.19
273.abstr,0.55,0.72,0.62,0.32,0.38,0.34
274.abstr,0.33,0.22,0.26,0.05,0.05,0.05
275.abstr,0.53,0.49,0.51,0.11,0.13,0.11
276.abstr,0.52,0.36,0.42,0.2,0.2,0.2
277.abstr,0.4,0.36,0.38,0.12,0.13,0.13
278.abstr,0.58,0.35,0.44,0.11,0.1,0.1
279.abstr,0.53,0.55,0.54,0.1,0.12,0.11
28.abstr,0.42,0.61,0.5,0.11,0.25,0.15
280.abstr,0.28,0.35,0.31,0.0,0.0,0.0
281.abstr,0.77,0.51,0.62,0.35,0.3,0.33
282.abstr,0.38,0.64,0.47,0.05,0.17,0.08
283.abstr,0.5,0.48,0.49,0.16,0.18,0.17
284.abstr,0.5,0.54,0.52,0.2,0.25,0.22
285.abstr,0.76,0.59,0.67,0.21,0.18,0.2
286.abstr,0.44,0.55,0.49,0.1,0.14,0.12
287.abstr,0.58,0.54,0.56,0.24,0.33,0.28
288.abstr,0.44,0.52,0.47,0.16,0.21,0.18
